,state,NAME,POPESTIMATE2012,2012 reported sightings,sightings per 1M residents,most sighting city,common UFO shape,longest sighting (seconds),color index
43,vt,Vermont,626398,50,79.82145536863145,williston,fireball,10800,9
23,mt,Montana,1005157,67,66.6562536996708,bozeman,light,10800,8
18,me,Maine,1328888,84,63.21074462257165,bangor,light,10800,7
27,nh,New Hampshire,1321393,71,53.731176114902986,nashua,light,14400,6
44,wa,Washington,6897292,366,53.06430407760031,seattle,light,52623200,6
34,or,Oregon,3899444,154,39.4928097441584,portland,light,16200,4
5,ct,Connecticut,3593541,138,38.402233340318084,milford,light,10800,4
37,sc,South Carolina,4721341,163,34.52408966011987,myrtle beach,light,18000,4
36,ri,Rhode Island,1052393,35,33.257537820947114,cranston,circle,7200,4
10,id,Idaho,1596097,50,31.326416878172193,boise,light,7200,3
46,wv,West Virginia,1856283,58,31.24523577493303,morgantown,light,18000,3
6,de,Delaware,917099,27,29.440660168640463,newark,triangle,5400,3
29,nm,New Mexico,2084792,60,28.77984950057368,albuquerque,other,7200,3
38,sd,South Dakota,834631,24,28.755222367728972,rapid city,light,7200,3
41,ut,Utah,2856343,79,27.657742785092687,salt lake city,light,3600,3
2,az,Arizona,6553262,176,26.856853884370867,phoenix,light,345600,3
9,ia,Iowa,3076636,80,26.00242602634826,des moines,light,14400,3
30,nv,Nevada,2754874,71,25.772503570036235,las vegas,light,14400,3
21,mo,Missouri,6025468,149,24.72836964697182,springfield,light,37800,3
45,wi,Wisconsin,5726422,139,24.27344683992902,milwaukee,fireball,7200,3
20,mn,Minnesota,5380443,125,23.23228775028376,duluth,light,7200,2
33,ok,Oklahoma,3817679,85,22.26483682886906,tulsa,circle,18000,2
26,ne,Nebraska,1855973,41,22.09083860594955,omaha,light,3600,2
24,nc,North Carolina,9747021,213,21.85283072643426,charlotte,light,18000,2
32,oh,Ohio,11551783,235,20.343179922960807,columbus,light,14400,2
35,pa,Pennsylvania,12772789,259,20.277482075371324,pittsburgh,light,14400,2
4,co,Colorado,5191731,102,19.64662652976435,colorado springs,light,14400,2
16,ma,Massachusetts,6657780,130,19.526028195584715,boston,light,172800,2
7,fl,Florida,19352021,377,19.48116943444822,orlando,fireball,259200,2
19,mi,Michigan,9886879,192,19.419677331946712,detroit,light,14400,2
11,il,Illinois,12875167,250,19.417223869795244,chicago,light,73800,2
47,wy,Wyoming,577080,11,19.061481943578016,rock springs,light,23400,2
12,in,Indiana,6538283,118,18.04755162785092,indianapolis,light,2631600,2
1,ar,Arkansas,2949499,51,17.29107214479476,mountain home,light,3600,2
39,tn,Tennessee,6455469,111,17.19472280015596,knoxville,circle,10800,2
13,ks,Kansas,2886281,49,16.976863999035437,wichita,light,7200,2
31,ny,New York,19606981,330,16.830740030808414,new york city (brooklyn),light,6312000,2
3,ca,California,38056055,636,16.712189426886205,sacramento,light,21600,2
17,md,Maryland,5890740,94,15.957248155579775,ocean city,light,10800,1
42,va,Virginia,8193374,122,14.890080692032367,stafford,circle,10800,1
28,nj,New Jersey,8874893,123,13.859322022248605,montclair,fireball,10800,1
25,nd,North Dakota,702265,9,12.815674994482139,casselton,triangle,900,1
14,ky,Kentucky,4382667,55,12.549436222282003,louisville,light,13500,1
22,ms,Mississippi,2985660,34,11.387766858918965,gulfport,light,2400,1
8,ga,Georgia,9917639,109,10.99051901364831,atlanta,light,7200,1
0,al,Alabama,4816089,51,10.589505301916141,birmingham,light,7200,1
40,tx,Texas,26089741,223,8.547420995861938,houston,light,109800,1
15,la,Louisiana,4603676,37,8.037055605129467,new orleans,light,3600,1
